"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","-0.0530167727287661","-1.24134440987801","1.17063943188778","0.616574878968312","-11.629807836903","-7.88466257031534","-34.1133525577089","-6.54984318023157","boral","X_Avena_barbata"
"2","meanGW","-1.69565832191178","-3.29846998881146","-0.00295764602008596","0.161832900449576","-0.477197848052067","-0.318445310450288","-0.998208262396012","-0.265434500934694","boral","X_Avena_barbata"
"3","intercept","0.0343000131167164","-1.13810473566326","1.23151549971454","0.616889885535072","17.9851209804473","10.975728643768","25.3677427804458","10.0727813328588","boral","X_Bromus_diandrus"
"4","meanGW","-1.64713797036341","-3.1311962567528","-0.186653141602392","0.157936492371775","-0.47942702801311","-0.322282187207564","-0.887485464714026","-0.270414029085202","boral","X_Bromus_diandrus"
"5","intercept","-0.282353984324303","-1.83584971168027","1.18172518772542","0.765958370110601","-2.71275920523524","-1.92786605699122","-4.61315053770094","-1.52204713162229","boral","X_Conyza_parva"
"6","meanGW","-1.63948005457094","-3.18268172415572","0.00386691402695315","0.164331656780218","-0.5011700396173","-0.339164696131009","-1.00243292815589","-0.281250374860565","boral","X_Conyza_parva"
"7","intercept","1.17512257794692","-0.177762930820144","1.99557466162337","0.557268319650898","0.474221438774932","0.298532012434643","1.19557903363468","0.260805110536113","boral","X_Cynodon_dactylon"
"8","meanGW","-1.55182675071025","-2.92083571511213","-0.183536877635171","0.141983939367654","-0.457473552710281","-0.316440629927701","-0.881755896142128","-0.259051700891808","boral","X_Cynodon_dactylon"
"9","intercept","-0.13687602951503","-1.41697627577315","1.02081748798499","0.609318148350745","-4.45160595693519","-2.85420803356846","-6.15357740104373","-2.47856921159584","boral","X_Ehrharta_calycina"
"10","meanGW","-1.77747028381359","-3.477902668838","-0.153023608441636","0.164480515842506","-0.462681478673193","-0.296443200347108","-0.915710980198538","-0.258286160228441","boral","X_Ehrharta_calycina"
"11","intercept","0.652932709094772","-0.600264514142293","1.79322483927581","0.632570940118745","0.968814904365479","0.625405041885069","2.00634447180817","0.546277757833642","boral","X_Ehrharta_longiflora"
"12","meanGW","-1.83459940288228","-3.54254303556169","-0.278027486059038","0.16795811926771","-0.457751482432177","-0.301777390295451","-0.854457608105559","-0.254507793742741","boral","X_Ehrharta_longiflora"
"13","intercept","-0.0633719903678732","-1.31252602526098","1.12020774281428","0.616377129524652","-9.72633376270169","-6.86394547047645","-12.6495190011351","-5.42710545686143","boral","X_Euphorbia_peplus"
"14","meanGW","-1.79658782292128","-3.44202023808108","-0.224426802263941","0.170567919055347","-0.474699641395768","-0.309918286972724","-0.87757804774247","-0.263558254519946","boral","X_Euphorbia_peplus"
"15","intercept","0.170105655503675","-0.948562983587781","1.30554120604375","0.585363360430308","3.44117518431163","2.2227258092192","6.3144025260801","1.92356010136198","boral","X_Fumaria_capreolata"
"16","meanGW","-1.80310982487139","-3.43747103814792","-0.267456152212714","0.165223253452111","-0.458161924396079","-0.303001543964703","-0.855621372042844","-0.256746844954195","boral","X_Fumaria_capreolata"
"17","intercept","-0.280778276796141","-1.5743861056689","1.02033961719782","0.666192967252793","-2.37266563088313","-1.53332639714364","-4.68322744906661","-1.33394269578134","boral","X_Hordeum_leporinum"
"18","meanGW","-1.81630665536245","-3.69966018753252","-0.14394939647768","0.173654836789123","-0.478043826675483","-0.317804756254123","-0.925096764730464","-0.266855959591157","boral","X_Hordeum_leporinum"
"19","intercept","-0.0176429236363942","-1.49773604510742","1.53892525099356","0.776489392299377","-44.0113786298784","-62.3716419278845","73.7246866204466","-24.6162269063763","boral","X_Hypochaeris_glabra"
"20","meanGW","-1.6654505394506","-3.32381158279913","-0.0369801524987148","0.173295325816293","-0.520265602944474","-0.329717002030238","-0.977993190050834","-0.288653949253063","boral","X_Hypochaeris_glabra"
"21","intercept","-0.109043613881881","-1.43043199126022","1.16012867256567","0.667661287588768","-6.12288298067595","-4.07014979939226","-9.58390254450879","-3.40432454898913","boral","X_Lactuca_serriola"
"22","meanGW","-1.84371949966946","-3.69324811231242","-0.233542326078101","0.177254497981101","-0.480698115990203","-0.303386949791957","-0.881051800577459","-0.266243095494325","boral","X_Lactuca_serriola"
"23","intercept","-0.155713391160334","-1.8204549624749","1.40533640809972","0.819028074660417","-5.25984354047677","-4.12818409080965","-7.77077135333054","-2.93243688834222","boral","X_Lotus_angustissimus"
"24","meanGW","-1.68376410534927","-3.32451424970613","-0.00786445173461023","0.173357999953424","-0.514793014658856","-0.323277896632854","-0.995279977193942","-0.28600643573082","boral","X_Lotus_angustissimus"
"25","intercept","-0.101542088103259","-1.33315996970831","1.06444250751275","0.588987944255883","-5.80043167574947","-4.38900503664531","-8.92239178515391","-3.25969829532197","boral","X_Pelargonium_capitatum"
"26","meanGW","-1.71861413076594","-3.41926618696464","-0.213096092070264","0.161112850622947","-0.468728982669146","-0.315530151858218","-0.882668040409845","-0.262984588653349","boral","X_Pelargonium_capitatum"
"27","intercept","-0.00613398908408171","-1.48117616009026","1.40436000380115","0.718605082805862","-117.151346856927","-83.8425478857368","-37.5641831521905","-65.2671108817992","boral","X_Rumex_crispus"
"28","meanGW","-1.6655989371785","-3.28762770882055","0.0686099574692135","0.171967215509782","-0.516232364440301","-0.337799386430041","-1.04262788388813","-0.288688564074952","boral","X_Rumex_crispus"
"29","intercept","-0.273808279094799","-2.04986399412988","1.39769647851357","0.852000443110005","-3.11166793760469","-2.1747805030961","-5.2863112468664","-1.75000533686131","boral","X_Sonchus_asper"
"30","meanGW","-1.72215350019098","-3.50902917025756","-0.132933772940625","0.170425673826256","-0.494803958553511","-0.335189969201072","-0.92699883276468","-0.276610612803864","boral","X_Sonchus_asper"
"31","intercept","-0.362003477399423","-1.68951711684281","0.950566301509458","0.664810310252593","-1.83647492844126","-1.08890584476719","-3.5727457952141","-1.02114864347338","boral","X_Sonchus_oleraceus"
"32","meanGW","-1.66475439504912","-3.20141320886705","0.024984626033617","0.162905094700227","-0.48927666202503","-0.325637120863591","-1.01573126886507","-0.273522506806664","boral","X_Sonchus_oleraceus"
"33","intercept","-0.171207858825854","-1.87496749340401","1.46454419883301","0.834813948010105","-4.87602586549046","-3.17081020426987","-8.13674987850696","-2.71733038761683","boral","X_Symphyotrichum_squamatum"
"34","meanGW","-1.69125933599076","-3.49343708106665","-0.0379416489944957","0.170847362345088","-0.505089192146289","-0.32942401813356","-0.9785117078089","-0.280912205517626","boral","X_Symphyotrichum_squamatum"
"35","intercept","-0.12036768287189","-1.82292690977776","1.47582282123294","0.806382233754932","-6.6993250556562","-4.62871895573371","-9.50363259862535","-3.73978785427433","boral","X_Unknown_shrub"
"36","meanGW","-1.68086177637251","-3.30122540996926","0.0199382894512685","0.181673193569184","-0.540416815121037","-0.345020691043121","-1.01215272465893","-0.297954878579167","boral","X_Unknown_shrub"
"37","intercept","0.297462887569748","-0.93151824877279","1.38997777469915","0.604281526486894","2.03145182723073","1.41800790107436","5.06368805137411","1.14329661699622","boral","X_Vicia_sativa"
"38","meanGW","-1.78009687705872","-3.4049853664729","-0.185058091353489","0.165396416196769","-0.464571390266286","-0.312825672411712","-0.89690481826895","-0.261278281059994","boral","X_Vicia_sativa"
"39","intercept","0.945982129001617","-1.06455188728971","2.61700051400829","0.937662541490356","0.991205343889486","0.644265408392957","2.371448779648","0.55624491478234","boral","Acacia_saligna"
"40","meanGW","0.351992048121749","-1.3025351801868","2.25264795205823","0.177300430234587","2.51852891536433","1.47563778120394","3.74185384882513","1.32794246204329","boral","Acacia_saligna"
"41","intercept","0.946517716087491","-1.17412840445926","2.5777178087785","0.989192147046363","1.04508571813666","0.618726140299578","2.67303685942075","0.580360221801906","boral","Azolla_sp_"
"42","meanGW","0.360242993029224","-1.16582060042754","2.29591658887252","0.175904381116464","2.44146846045933","1.4443675529907","3.06322403114043","1.29113454029477","boral","Azolla_sp_"
"43","intercept","1.00212100583997","-0.79915943352254","2.56627393133135","0.874874745433438","0.873023058428087","0.57497301508669","1.90447951676417","0.491790525378409","boral","Banksia_littoralis"
"44","meanGW","0.257584675528364","-1.42471808615836","2.07715427208136","0.168031882188266","3.26168243207005","1.78040562589953","5.36737911507107","1.75623355068802","boral","Banksia_littoralis"
"45","intercept","1.05425305314477","-0.581860232263602","2.44391208189371","0.758882522484931","0.719829570539286","0.475454268170578","1.62496673481911","0.404890797269634","boral","Centella_asiatica"
"46","meanGW","0.438531943943234","-1.10441937990139","2.56669163272524","0.174308607866253","1.98741061254157","1.18545892977762","2.51055233082431","1.06684283703379","boral","Centella_asiatica"
"47","intercept","1.98678538976475","1.0157311503362","2.64419631102295","0.408547549683147","0.205632451188662","0.107142019309622","0.444944654745152","0.10801055666366","boral","Eucalyptus_rudis"
"48","meanGW","0.170152224712872","-1.01180100514198","1.32692289161151","0.120921081299961","3.55332060759162","1.95333085433264","7.42164856575139","1.93225537883078","boral","Eucalyptus_rudis"
"49","intercept","1.52635744888611","0.657805582627534","2.23898954325762","0.389441996100845","0.255144688673711","0.143307882011891","0.545839071082713","0.137312407466367","boral","Melaleuca_rhaphiophylla"
"50","meanGW","0.248796509038152","-0.981648829483824","1.44519717987675","0.127821366449569","2.56879340758692","1.53476389578324","5.23536758852328","1.40731535459016","boral","Melaleuca_rhaphiophylla"
"51","intercept","0.901397880942781","-1.07686542123917","2.66553061737369","0.979223175240886","1.08633844825185","0.704735977108252","2.3556857969311","0.608950328495625","boral","Persicaria_decipiens"
"52","meanGW","0.34964354837879","-1.20369851213678","2.20680676486227","0.174201681898287","2.49113250774992","1.470790968931","3.39993741227087","1.33226022070878","boral","Persicaria_decipiens"
